"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/086111 / JJK83B4X-086111";"Fatura simplificada";"2025-10-19";"23,48 €";"2,88 €";"20,60 €";"Pendente";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FS A2025C1/000165235 / JJ4P54ZF-000165235";"Fatura simplificada";"2025-06-29";"15,00 €";"2,80 €";"12,20 €";"Registado";"X";""
"";"503630330 - Worten - Equipamentos Para o Lar S A";"FS 4TL001/051628 / JFNMNJKT-051628";"Fatura simplificada";"2025-08-12";"13,99 €";"2,62 €";"11,37 €";"Pendente";"X";""
"Outros";"503027367 - Volat Representacoes Lda";"FR 2025A234/6062 / JJ438X9R-6062";"Fatura-recibo";"2025-07-27";"13,98 €";"2,61 €";"11,37 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/090369 / JJKZWZ95-090369";"Fatura simplificada";"2025-12-12";"14,27 €";"2,55 €";"11,72 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/090789 / JF87BNT6-090789";"Fatura simplificada";"2025-07-19";"14,25 €";"2,54 €";"11,71 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/323541 / JFVD3FPF-323541";"Fatura simplificada";"2025-12-08";"14,36 €";"2,47 €";"11,89 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/067770 / JJK83B4X-067770";"Fatura simplificada";"2025-07-27";"18,41 €";"2,38 €";"16,03 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/088160 / JF87BNT6-088160";"Fatura simplificada";"2025-07-04";"27,80 €";"2,38 €";"25,42 €";"Pendente";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/66118 / JJWBVWMS-66118";"Fatura simplificada";"2025-07-13";"14,10 €";"2,31 €";"11,79 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/107946 / JF87BNT6-107946";"Fatura simplificada";"2025-10-28";"22,07 €";"2,29 €";"19,78 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.1732/362248 / JFVYCN5M-362248";"Fatura simplificada";"2025-12-31";"40,00 €";"2,26 €";"37,74 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.5621/18579 / JJMGF344-18579";"Fatura simplificada";"2025-11-30";"40,00 €";"2,26 €";"37,74 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.5620/28978 / JJMMF39D-28978";"Fatura simplificada";"2025-11-02";"40,00 €";"2,26 €";"37,74 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.5620/26228 / JJMMF39D-26228";"Fatura simplificada";"2025-09-29";"40,00 €";"2,26 €";"37,74 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.5622/18915 / JJMKF3GV-18915";"Fatura simplificada";"2025-09-01";"40,00 €";"2,26 €";"37,74 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.5503/21008 / JJKX67V8-21008";"Fatura simplificada";"2025-08-01";"40,00 €";"2,26 €";"37,74 €";"Pendente";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005801A/98557 / JJWBVWMS-98557";"Fatura simplificada";"2025-10-16";"17,50 €";"2,24 €";"15,26 €";"Pendente";"X";""
"Outros";"500201307 - Nestlé Portugal, Unipessoal, Lda";"FT 901/38990281 / JF3MH634-38990281";"Fatura";"2025-09-20";"11,30 €";"2,11 €";"9,19 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/083548 / JF87BNT6-083548";"Fatura simplificada";"2025-06-07";"15,71 €";"2,09 €";"13,62 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/081079 / JJKZWZ95-081079";"Fatura simplificada";"2025-10-25";"26,30 €";"2,07 €";"24,23 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680062212212020/347105 / JFVN3FWD-347105";"Fatura simplificada";"2025-06-24";"16,90 €";"2,00 €";"14,90 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/078580 / JJKZWZ95-078580";"Fatura simplificada";"2025-10-12";"17,90 €";"1,95 €";"15,95 €";"Pendente";"X";""
